100 9900
0 1 4
0 2 4
0 3 5
0 4 6
0 5 8
0 6 2
0 7 5
0 8 7
0 9 4
0 10 6
0 11 9
0 12 9
0 13 3
0 14 5
0 15 1
0 16 4
0 17 1
0 18 8
0 19 4
0 20 10
0 21 5
0 22 9
0 23 7
0 24 4
0 25 3
0 26 1
0 27 5
0 28 8
0 29 8
0 30 6
0 31 10
0 32 7
0 33 3
0 34 2
0 35 5
0 36 7
0 37 7
0 38 10
0 39 1
0 40 6
0 41 5
0 42 3
0 43 7
0 44 6
0 45 1
0 46 5
0 47 3
0 48 8
0 49 5
0 50 5
0 51 2
0 52 6
0 53 8
0 54 3
0 55 8
0 56 2
0 57 1
0 58 5
0 59 8
0 60 2
0 61 7
0 62 2
0 63 5
0 64 10
0 65 4
0 66 5
0 67 2
0 68 9
0 69 8
0 70 8
0 71 7
0 72 6
0 73 9
0 74 6
0 75 5
0 76 10
0 77 3
0 78 1
0 79 5
0 80 4
0 81 5
0 82 8
0 83 5
0 84 10
0 85 7
0 86 2
0 87 7
0 88 5
0 89 8
0 90 3
0 91 4
0 92 10
0 93 10
0 94 4
0 95 6
0 96 9
0 97 8
0 98 2
0 99 9
1 0 3
1 2 9
1 3 6
1 4 2
1 5 5
1 6 9
1 7 4
1 8 3
1 9 3
1 10 2
1 11 9
1 12 9
1 13 7
1 14 1
1 15 5
1 16 6
1 17 4
1 18 2
1 19 3
1 20 2
1 21 8
1 22 9
1 23 4
1 24 9
1 25 10
1 26 8
1 27 9
1 28 10
1 29 1
1 30 8
1 31 6
1 32 9
1 33 1
1 34 1
1 35 4
1 36 6
1 37 1
1 38 7
1 39 5
1 40 5
1 41 6
1 42 9
1 43 1
1 44 2
1 45 6
1 46 1
1 47 9
1 48 5
1 49 4
1 50 6
1 51 10
1 52 6
1 53 4
1 54 5
1 55 2
1 56 5
1 57 8
1 58 5
1 59 10
1 60 2
1 61 5
1 62 2
1 63 4
1 64 10
1 65 5
1 66 2
1 67 3
1 68 7
1 69 6
1 70 3
1 71 2
1 72 6
1 73 7
1 74 6
1 75 5
1 76 5
1 77 10
1 78 8
1 79 3
1 80 8
1 81 10
1 82 9
1 83 9
1 84 6
1 85 4
1 86 2
1 87 8
1 88 7
1 89 4
1 90 1
1 91 4
1 92 10
1 93 1
1 94 1
1 95 5
1 96 6
1 97 8
1 98 6
1 99 10
2 0 7
2 1 5
2 3 3
2 4 7
2 5 7
2 6 6
2 7 2
2 8 3
2 9 4
2 10 8
2 11 3
2 12 1
2 13 3
2 14 10
2 15 2
2 16 6
2 17 6
2 18 8
2 19 4
2 20 9
2 21 5
2 22 5
2 23 10
2 24 3
2 25 9
2 26 4
2 27 3
2 28 4
2 29 9
2 30 6
2 31 3
2 32 6
2 33 7
2 34 7
2 35 6
2 36 8
2 37 4
2 38 6
2 39 3
2 40 8
2 41 5
2 42 9
2 43 4
2 44 3
2 45 10
2 46 9
2 47 4
2 48 8
2 49 8
2 50 8
2 51 7
2 52 3
2 53 3
2 54 7
2 55 7
2 56 2
2 57 1
2 58 6
2 59 1
2 60 4
2 61 3
2 62 8
2 63 8
2 64 9
2 65 6
2 66 4
2 67 6
2 68 5
2 69 6
2 70 7
2 71 3
2 72 2
2 73 10
2 74 2
2 75 9
2 76 3
2 77 2
2 78 1
2 79 7
2 80 4
2 81 1
2 82 8
2 83 7
2 84 3
2 85 6
2 86 9
2 87 5
2 88 9
2 89 2
2 90 5
2 91 1
2 92 5
2 93 10
2 94 6
2 95 8
2 96 8
2 97 5
2 98 7
2 99 3
3 0 5
3 1 10
3 2 10
3 4 9
3 5 10
3 6 8
3 7 5
3 8 8
3 9 3
3 10 10
3 11 2
3 12 7
3 13 1
3 14 7
3 15 6
3 16 2
3 17 1
3 18 1
3 19 10
3 20 4
3 21 3
3 22 1
3 23 9
3 24 9
3 25 2
3 26 2
3 27 5
3 28 5
3 29 10
3 30 8
3 31 4
3 32 7
3 33 9
3 34 2
3 35 2
3 36 7
3 37 1
3 38 7
3 39 3
3 40 4
3 41 6
3 42 9
3 43 6
3 44 2
3 45 3
3 46 4
3 47 10
3 48 9
3 49 6
3 50 3
3 51 6
3 52 2
3 53 7
3 54 10
3 55 2
3 56 5
3 57 1
3 58 7
3 59 5
3 60 6
3 61 6
3 62 2
3 63 9
3 64 9
3 65 7
3 66 1
3 67 6
3 68 10
3 69 9
3 70 6
3 71 5
3 72 4
3 73 3
3 74 6
3 75 10
3 76 7
3 77 4
3 78 2
3 79 3
3 80 1
3 81 10
3 82 10
3 83 5
3 84 7
3 85 9
3 86 8
3 87 1
3 88 3
3 89 2
3 90 10
3 91 10
3 92 6
3 93 3
3 94 6
3 95 4
3 96 4
3 97 5
3 98 5
3 99 5
4 0 6
4 1 7
4 2 8
4 3 3
4 5 3
4 6 1
4 7 8
4 8 1
4 9 10
4 10 2
4 11 5
4 12 6
4 13 4
4 14 7
4 15 9
4 16 3
4 17 3
4 18 2
4 19 4
4 20 10
4 21 3
4 22 3
4 23 5
4 24 2
4 25 7
4 26 1
4 27 10
4 28 3
4 29 5
4 30 1
4 31 8
4 32 5
4 33 8
4 34 2
4 35 10
4 36 6
4 37 5
4 38 9
4 39 3
4 40 5
4 41 10
4 42 8
4 43 4
4 44 3
4 45 9
4 46 5
4 47 2
4 48 8
4 49 1
4 50 6
4 51 5
4 52 2
4 53 10
4 54 8
4 55 4
4 56 9
4 57 2
4 58 9
4 59 7
4 60 10
4 61 6
4 62 10
4 63 6
4 64 2
4 65 7
4 66 2
4 67 2
4 68 5
4 69 7
4 70 3
4 71 3
4 72 9
4 73 2
4 74 9
4 75 10
4 76 6
4 77 1
4 78 1
4 79 2
4 80 8
4 81 8
4 82 1
4 83 9
4 84 3
4 85 8
4 86 6
4 87 10
4 88 6
4 89 9
4 90 6
4 91 9
4 92 2
4 93 4
4 94 3
4 95 5
4 96 2
4 97 6
4 98 3
4 99 8
5 0 9
5 1 10
5 2 1
5 3 10
5 4 10
5 6 9
5 7 4
5 8 10
5 9 5
5 10 5
5 11 10
5 12 1
5 13 9
5 14 8
5 15 1
5 16 3
5 17 7
5 18 2
5 19 2
5 20 8
5 21 1
5 22 4
5 23 3
5 24 1
5 25 1
5 26 1
5 27 8
5 28 6
5 29 4
5 30 1
5 31 3
5 32 9
5 33 6
5 34 6
5 35 1
5 36 6
5 37 7
5 38 10
5 39 7
5 40 3
5 41 1
5 42 7
5 43 7
5 44 7
5 45 6
5 46 6
5 47 4
